Year,Production_lbs_acre,Clip_Dates,
1953,1994,,
1954,1794,,
1955,897,,
1956,1196,,
1957,1296,,
1958,2791,,
1959,1695,,
1960,1695,,
1961,2193,,
1962,1296,,
1963,2891,,
1964,3489,,
1965,2592,,
1966,2093,,
1967,2592,,
1968,2193,,
1969,2592,,
1970,1695,,
1971,1894,,
1972,2093,,
1973,3389,,
1974,3090,,
1975,2990,,
1976,2592,,
1977,1495,,
1978,2990,,
1979,2392,,
1980,2791,,
1981,2592,,
1982,2791,,
1983,2592,,
1984,2990,,
1985,2592,May 22-23,
1986,2610,May 16-19,
1987,1800,May 28-29,
1988,1840,June 13-15,
1989,1830,June 6-8,
1990,2040,June 4-7,
1991,2430,June 1-7,
1992,2920,June 5-10,
1993,3370,June 16-21,
1994,2450,June 8-9,
1995,3230,June 22-23,
1996,2730,June 7-12,
1997,1770,June 10-11,
1998,3340,July 1-15,
1999,2450,June 17-22,
2000,2280,June 26-July 6,
2001,2361,June 18-22,
2002,1851,June 24-28,
2003,2637,June 6-7,
2004,2611,,
2005,3474,,
2006,2368,June 14-18,
2007,2330,,
2008,2486,,
2009,2692,June 1-5,
2010,2692,June 14-18,
2011,3194,June 20-24,
2012,2242,June 11-18,
2013,2359,June 17-20,
2014,1561,June 16-25,
2015,2412,June 15-17,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
